Country Name,Country Code,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Indonesia,IDN,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8689.81930723231,9099.45933261917,9528.25693865233,9920.76075223103,10262.7663418814,10650.6284100953,11083.0314753605,11528.331264216,12028.8286921152,12510.5905953154,12192.413052969,12546.9634671273,13106.5640130187,13700.1298913573
"Iran, Islamic Rep.",IRN,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3564.81252609454,3691.40993724597,3695.81481419293,4582.15752925032,4500.73352485481,4327.42735601937,4502.54878970008,4315.7175816633,3915.51062603085,4478.31263152998,4566.99482237933,4671.55137173518,5337.86911016431,5664.3257955316,5964.86914847815,6451.27204160326,6719.95954299324,7404.57170151228,7286.41904455197,7002.88526676329,7490.78150453068,21254.4223015335,18068.7636839721,17066.8435587527,16883.1304044246,14835.4202755179,15888.555931114,16089.1378353704,14992.3387295932,13613.3761477908,13783.5913113424,15037.3943319442,15444.0532636078,..
Iraq,IRQ,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10926.4400597996,11747.3850774843,11653.8117092655,11861.1177698938,12162.6626667724,13338.9872705944,13563.7356942341,13108.0959909722,13340.2665141958,14823.3473531359,14222.1719907246,14235.9151595574,14705.6248198888,12595.0034646039,12472.5267304483,..,..
Ireland,IRL,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,32148.8615548619,34165.222898308,36932.8010625351,39930.8100670258,42336.0490843511,46011.2718743288,47273.605749943,48294.4838079962,50097.102025654,50931.4336547203,53199.293996336,54868.660706547,55024.6199827135,51527.2877337591,47076.3220845114,47569.6931415503,46788.6405626931,46591.6235878221,49243.0164336925,52799.0810559538,63168.9456676745,67035.1259211964,70271.8612378278,72748.495278827,75920.3547358563,77740.9502406238,85210.2752995933,87921.8918084655,..
Isle of Man,IMN,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Israel,ISR,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22847.6854242269,23790.1784634556,24730.1344852982,25118.0308845631,26215.4173863443,27142.6661183628,28128.4100662214,28670.3972528839,29412.316912983,29528.2685193526,30349.358909511,30306.6194112513,29744.4804833445,29427.1182547315,30181.5496171624,31342.548175752,32550.0946334644,33747.9278596629,33328.6082533464,33538.9593490114,34699.3043394818,35728.2925619929,35851.6765941005,37084.8055337732,38429.6809414438,39308.4124309078,40581.9409840526,41657.8015501913,42435.4394131405,43591.8007986791,42328.773143006,45526.4774510953,47910.6901808807,..
Italy,ITA,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,45338.1200270475,46166.2415575814,47250.8188346589,48327.0456921668,49258.5356600138,50336.8362965406,51523.7311838665,51687.6591912647,51609.8073255197,52047.4516465587,52044.3310970773,52522.8055412007,53036.3850774286,51316.66502023,49487.9566962901,49572.9156072225,49446.6613485825,47721.365899888,46476.1943913211,46444.0183160308,46804.4193301149,48355.4525188737,49175.8303733332,49926.2110579518,50720.3092329161,47034.0654642072,50538.5953922447,50899.815821438,52388.8830577023
Jamaica,JAM,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9336.5130284781,..,..
Japan,JPN,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,39452.0331918117,40379.1083102064,41538.6507571972,41735.4615011689,41210.6709862216,40932.1112364481,41849.8357116113,41968.3852218728,41828.0355375047,42294.5854716491,43137.5566178741,43708.5398770681,44065.9230112196,44593.164051655,43158.2560684442,41282.3186960951,42697.7081287356,42381.8101402309,42888.8175146379,43921.6427792942,44147.9747511032,45665.3718888071,46232.0785384671,46868.4644438131,46930.1641791633,46914.5632558058,45394.7333811871,46678.9166050171,46656.3924627265,..
Jordan,JOR,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9069.40313884215,..,..
